Ff_Number,So_Number,Order_Reference,Channel,Order_Created_Date,Warehouse,Planned_Date,Carrier,Sku,Sku_Name,Quantity
FF5196597,SO5769202,#5943516,Shopify UK,2026-06-21 15:51:08.737513+00:00,Airbox (EU),2026-06-21,Airbox,WCRO24,Roll On Refill: Fresh Cotton & Sea Salt,2.0
FF5196743,SO5769348,#5943574,Shopify UK,2026-06-21 16:24:54.423306+00:00,UKAB (Airbox 18),2026-06-21,UKAB (Airbox 18),WCR1751,Summer Breeze Deodorant Refill,1.0
FF5196795,SO5769400,2890712,Shopify EU,2026-06-21 16:32:50.414299+00:00,Airbox (EU),2026-06-21,Airbox,WCROC3333,Roll On Case: Miffy,1.0
FF5196795,SO5769400,2890712,Shopify EU,2026-06-21 16:32:50.414299+00:00,Airbox (EU),2026-06-21,Airbox,WCSGC1110,Stars Body Wash Case,1.0
FF5196795,SO5769400,2890712,Shopify EU,2026-06-21 16:32:50.414299+00:00,Airbox (EU),2026-06-21,Airbox,WCSGC25,Black Shower Gel Case,1.0
FF5196982,SO5769587,#5943657,Shopify UK,2026-06-21 17:24:12.490320+00:00,Airbox (EU),2026-06-21,Airbox,WCROC3130,Roll On Case: Leopard,1.0
FF5197015,SO5769620,2890766,Shopify EU,2026-06-21 17:32:10.644230+00:00,Stord (US),2026-06-21,Stord,WCBWMIN1963,Spa Daydreams Body Wash Mini,2.0
FF5197015,SO5769620,2890766,Shopify EU,2026-06-21 17:32:10.644230+00:00,Stord (US),2026-06-21,Stord,WCBWMIN24,Fresh Cotton and Sea Salt Body Wash Mini,2.0
FF5197124,SO5769729,#5943695,Shopify UK,2026-06-21 17:59:53.577977+00:00,Stord (US),2026-06-21,Stord,WCBWMIN1283,Juicy Mango Body Wash Mini,1.0
FF5197194,SO5769799,#5943721,Shopify UK,2026-06-21 18:15:45.288270+00:00,UKAB (Airbox 18),2026-06-21,UKAB (Airbox 18),WCRS1754,Queen of Heart's Cherry Tarts Sensitive Deo Refill,1.0
FF5197531,SO5770136,2890935,Shopify EU,2026-06-21 19:41:18.824446+00:00,UKAB (Airbox 18),2026-06-21,UKAB (Airbox 18),WCLR619V2,Original Lip Balm Refill V2,1.0
FF5197641,SO5770246,2890986,Shopify EU,2026-06-21 20:01:12.387324+00:00,Airbox (EU),2026-06-21,Airbox,WBU6455,Miffy Body Wash & Deo Bundle,1.0
FF5197914,SO5770519,#5943887,Shopify UK,2026-06-21 20:42:38.164633+00:00,Airbox (EU),2026-06-21,Airbox,WCC2556,Deo Case: Chrome ,1.0
FF5197916,SO5770521,#5943888,Shopify UK,2026-06-21 20:42:59.509341+00:00,Airbox (EU),2026-06-21,Airbox,WCROC3130,Roll On Case: Leopard,1.0
FF5197924,SO5770529,#5943891,Shopify UK,2026-06-21 20:44:05.847458+00:00,UKAB (Airbox 18),2026-06-21,UKAB (Airbox 18),WCRS1896,Watermelon sens. Deodorant Refill,3.0
FF5197979,SO5770584,2891105,Shopify EU,2026-06-21 20:53:26.582117+00:00,UKAB (Airbox 18),2026-06-21,UKAB (Airbox 18),WCLR619V2,Original Lip Balm Refill V2,1.0
FF5197994,SO5770598,#5943905,Shopify UK,2026-06-21 20:55:03.085855+00:00,Next (AU),2026-06-21,Next3PL,WCR251,Elderflower & Cucumber - initial_delivery,1.0
FF5198013,SO5770618,#5943874,Shopify UK,2026-06-21 20:58:54.666458+00:00,Airbox (EU),2026-06-21,Airbox,WCROC2556,Roll On Case: Chrome,1.0
