product/rec_name,from_location/rec_name,to_location/rec_name,quantity,uom/rec_name,planned_date,effective_date,state,tpl_sku
[WCHWR1537] Spa Daydreams Hand Wash Refill,Airbox (EU) - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WSRP1823] AMZ UK Mens Refill trio,FBA UK - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WCR348] Mint & Aloe Vera - initial_delivery,Airbox (EU) - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCR24] Fresh Cotton & Sea Salt Deodorant Refill,Airbox (EU) - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCR3777] Deo Refill: Island Paradise,Stord - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCR3776] Deo Refill: Enchanted Bloom,Stord - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCR1103] Vanilla Bean & Buttercream Deo Refill,Stord - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCR794] Honey & Cactus Flower - initial_delivery,Stord - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCR761] Pink Grapefruit & Lime Deo Refill,Stord - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCC1285] Red Love Heart Deo Case,Stord - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCR86] Cedar & Sandalwood - initial_delivery,Stord - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[W_ENGRAVED_DEO] Personalised Case Deodorant,Stord - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WSRP1823] AMZ UK Mens Refill trio,FBA UK - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
"[WSRP2330] AMZ UK BW Refill Trio Honey, Amber, Sant",FBA UK - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WSRP1093-US] US Refill variety pack,FBA USA - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WCLR619V2] Original Lip Balm Refill V2,Airbox (EU) - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCROC747] Roll On Case: Bee,Airbox (EU) - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
