SKU,Item Name,Order URL,Order Number,Order Line Status,Preferred Origin Facility,Brand,Custom Reference,Orderline Number,Priority,Date,Channel,Quantity
"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/items/f114c4b4-2fe1-4506-b6c4-acfd00b14d1c"" target=""_blank"" style=""color:  #1463FF"">WCR507</a>",Thunderstorm Deodorant Refill,"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/orders/315a185d-8274-4b5a-8ace-438975beb9e3"" target=""_blank"" style=""color:  #1463FF"">FF5032035</a>",FF5032035,backordered,ATLs001,Wild,WCS34699,1,Medium,2026-06-02,D2C,1
"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/items/f114c4b4-2fe1-4506-b6c4-acfd00b14d1c"" target=""_blank"" style=""color:  #1463FF"">WCR507</a>",Thunderstorm Deodorant Refill,"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/orders/315a185d-8274-4b5a-8ace-438975beb9e3"" target=""_blank"" style=""color:  #1463FF"">FF5032035</a>",FF5032035,backordered,ATLs001,Wild,WCS34699,3,Medium,2026-06-02,D2C,1
"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/items/f06f4055-451d-4226-9921-88b3106ab63f"" target=""_blank"" style=""color:  #1463FF"">WCC1838</a>",Cath Kidston Navy Floral Case,"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/orders/315a185d-8274-4b5a-8ace-438975beb9e3"" target=""_blank"" style=""color:  #1463FF"">FF5032035</a>",FF5032035,backordered,ATLs001,Wild,WCS34699,2,Medium,2026-06-02,D2C,1
"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/items/fa1ce1ad-348a-4c35-a2f9-decbe99488e3"" target=""_blank"" style=""color:  #1463FF"">WCC1905</a>",Cath Kidston Bird Deo Case,"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/orders/ce41e1e0-edd8-4391-a8b4-f25df0c0b59f"" target=""_blank"" style=""color:  #1463FF"">FF5033352</a>",FF5033352,backordered,ATLs001,Wild,#5894914,4,Medium,2026-06-02,D2C,1
"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/items/fa1ce1ad-348a-4c35-a2f9-decbe99488e3"" target=""_blank"" style=""color:  #1463FF"">WCC1905</a>",Cath Kidston Bird Deo Case,"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/orders/5a419c2d-1e16-4296-882c-bcf747d32b59"" target=""_blank"" style=""color:  #1463FF"">FF5012694</a>",FF5012694,backordered,ATLs001,Wild,#5888174,2,Medium,2026-06-01,D2C,1
"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/items/fa1ce1ad-348a-4c35-a2f9-decbe99488e3"" target=""_blank"" style=""color:  #1463FF"">WCC1905</a>",Cath Kidston Bird Deo Case,"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/orders/e55e2c7d-8ffc-412a-9802-2d12b26d41c2"" target=""_blank"" style=""color:  #1463FF"">FF4986777</a>",FF4986777,backordered,ATLs001,Wild,#5878744,1,Medium,2026-05-31,D2C,1
"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/items/fa1ce1ad-348a-4c35-a2f9-decbe99488e3"" target=""_blank"" style=""color:  #1463FF"">WCC1905</a>",Cath Kidston Bird Deo Case,"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/orders/0ce015b2-2fb8-48ec-8ec6-fa16c44800a1"" target=""_blank"" style=""color:  #1463FF"">FF4988172</a>",FF4988172,backordered,ATLs001,Wild,#5879058,4,Medium,2026-05-31,D2C,1
"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/items/f06f4055-451d-4226-9921-88b3106ab63f"" target=""_blank"" style=""color:  #1463FF"">WCC1838</a>",Cath Kidston Navy Floral Case,"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/orders/be01c805-2813-4198-bb9a-5b53f982d22e"" target=""_blank"" style=""color:  #1463FF"">FF5002643</a>",FF5002643,backordered,ATLs001,Wild,#5884052,1,Medium,2026-05-30,D2C,1
"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/items/f114c4b4-2fe1-4506-b6c4-acfd00b14d1c"" target=""_blank"" style=""color:  #1463FF"">WCR507</a>",Thunderstorm Deodorant Refill,"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/orders/c7e5fdcb-7db9-43e0-84f8-8ac7ae7882ea"" target=""_blank"" style=""color:  #1463FF"">FF4884909</a>",FF4884909,backordered,ATLs001,Wild,WSOS278869,7,Medium,2026-05-27,D2C,3
"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/items/f114c4b4-2fe1-4506-b6c4-acfd00b14d1c"" target=""_blank"" style=""color:  #1463FF"">WCR507</a>",Thunderstorm Deodorant Refill,"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/orders/c7e5fdcb-7db9-43e0-84f8-8ac7ae7882ea"" target=""_blank"" style=""color:  #1463FF"">FF4884909</a>",FF4884909,backordered,ATLs001,Wild,WSOS278869,9,Medium,2026-05-27,D2C,2
"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/items/75faa23b-b971-4ef8-9d9b-45009efa667f"" target=""_blank"" style=""color:  #1463FF"">WCBWR3658</a>",Body Wash Refill: Brown Sugar & Vanilla,"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/orders/c7e5fdcb-7db9-43e0-84f8-8ac7ae7882ea"" target=""_blank"" style=""color:  #1463FF"">FF4884909</a>",FF4884909,backordered,ATLs001,Wild Cosmetics,WSOS278869,6,Medium,2026-05-27,D2C,2
"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/items/82ddba8b-4acd-4cc2-80cb-89b19379729b"" target=""_blank"" style=""color:  #1463FF"">WCR24</a>",Fresh Cotton & Sea Salt Deodorant Refill,"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/orders/dad58c02-840f-4ef0-b6e9-7c7a671db597"" target=""_blank"" style=""color:  #1463FF"">FF4915195</a>",FF4915195,backordered,ATLs001,Wild,#5856215,2,Medium,2026-05-27,D2C,1
"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/items/f06f4055-451d-4226-9921-88b3106ab63f"" target=""_blank"" style=""color:  #1463FF"">WCC1838</a>",Cath Kidston Navy Floral Case,"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/orders/dad58c02-840f-4ef0-b6e9-7c7a671db597"" target=""_blank"" style=""color:  #1463FF"">FF4915195</a>",FF4915195,backordered,ATLs001,Wild,#5856215,3,Medium,2026-05-27,D2C,1
"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/items/f06f4055-451d-4226-9921-88b3106ab63f"" target=""_blank"" style=""color:  #1463FF"">WCC1838</a>",Cath Kidston Navy Floral Case,"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/orders/f102d417-8d51-4c14-bdb4-3437055fdd28"" target=""_blank"" style=""color:  #1463FF"">FF4959059</a>",FF4959059,backordered,ATLs001,Wild,#5870027,2,Medium,2026-05-27,D2C,1
"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/items/82ddba8b-4acd-4cc2-80cb-89b19379729b"" target=""_blank"" style=""color:  #1463FF"">WCR24</a>",Fresh Cotton & Sea Salt Deodorant Refill,"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/orders/0848e6dd-4000-420f-b24c-d481e7229bf3"" target=""_blank"" style=""color:  #1463FF"">FF4973072</a>",FF4973072,backordered,ATLs001,Wild,#5874472,3,Medium,2026-05-27,D2C,1
"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/items/f06f4055-451d-4226-9921-88b3106ab63f"" target=""_blank"" style=""color:  #1463FF"">WCC1838</a>",Cath Kidston Navy Floral Case,"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/orders/0848e6dd-4000-420f-b24c-d481e7229bf3"" target=""_blank"" style=""color:  #1463FF"">FF4973072</a>",FF4973072,backordered,ATLs001,Wild,#5874472,4,Medium,2026-05-27,D2C,1
"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/items/f06f4055-451d-4226-9921-88b3106ab63f"" target=""_blank"" style=""color:  #1463FF"">WCC1838</a>",Cath Kidston Navy Floral Case,"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/orders/f87f63f2-f9a2-49a0-8e73-f94273ca0b59"" target=""_blank"" style=""color:  #1463FF"">FF4973377</a>",FF4973377,backordered,ATLs001,Wild,2829904,4,Medium,2026-05-27,D2C,1
"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/items/6910ed33-2686-4434-b45d-1c71965906ce"" target=""_blank"" style=""color:  #1463FF"">WCR1919</a>",Vanilla Butterscotch Deo Refill,"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/orders/f87f63f2-f9a2-49a0-8e73-f94273ca0b59"" target=""_blank"" style=""color:  #1463FF"">FF4973377</a>",FF4973377,backordered,ATLs001,Wild,2829904,5,Medium,2026-05-27,D2C,1
"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/items/75faa23b-b971-4ef8-9d9b-45009efa667f"" target=""_blank"" style=""color:  #1463FF"">WCBWR3658</a>",Body Wash Refill: Brown Sugar & Vanilla,"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/orders/fd19a0de-8b62-4e87-97f2-b53eb2b53f0a"" target=""_blank"" style=""color:  #1463FF"">FF4980363</a>",FF4980363,backordered,ATLs001,Wild Cosmetics,WSOS279443,13,Medium,2026-05-27,D2C,1
